node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,,enabled,29.074,12.940,4.717,8.104,2481.896,2.724
,,,enabled,22.114,10.760,4.529,6.810,2474.914,2.734
,,,enabled,159.681,144.936,6.287,8.443,2479.647,3.944
,,,enabled,22.366,10.875,4.686,6.793,2434.294,2.769
,,,enabled,22.856,10.873,4.630,7.340,2425.741,2.794
,,,enabled,23.252,10.950,4.997,7.292,2630.914,2.797
,,,enabled,22.564,10.887,4.770,6.889,2467.122,2.791
,,,enabled,22.376,10.933,4.831,6.599,2618.034,2.824
,,,enabled,22.972,11.045,4.675,7.234,2727.363,2.785
,,,enabled,22.840,10.892,4.835,7.100,2500.662,2.793
,,,enabled,29.539,13.448,4.710,7.959,2417.176,2.740
,,,enabled,22.291,10.792,4.638,6.846,2471.304,2.828
,,,enabled,154.157,141.889,4.546,7.704,2593.448,2.681
,,,enabled,23.043,11.235,4.729,7.067,2520.742,2.765
,,,enabled,22.486,11.113,4.568,6.789,2430.437,2.796
,,,enabled,22.252,11.009,4.463,6.767,2594.706,2.729
,,,enabled,27.027,13.582,4.689,8.742,2414.395,2.745
,,,enabled,24.014,11.287,5.255,7.459,2465.221,3.192
,,,enabled,22.644,11.127,4.756,6.748,2633.216,2.769
,,,enabled,23.259,11.206,4.790,7.252,2504.264,2.784
,,,enabled,29.644,13.194,4.781,8.297,2398.587,2.738
,,,enabled,22.118,10.669,4.478,6.956,2455.817,2.711
,,,enabled,149.846,135.281,4.542,10.009,2502.098,2.712
,,,enabled,22.768,10.900,4.716,7.140,2468.059,2.823
,,,enabled,25.432,11.034,4.551,9.834,2473.696,2.759
,,,enabled,22.800,10.884,4.884,7.018,2633.505,2.769
,,,enabled,22.843,11.073,4.715,7.042,2508.649,2.763
,,,enabled,23.380,10.991,4.707,7.670,2425.471,2.763
,,,enabled,22.848,11.044,4.669,7.123,2639.450,2.761
,,,enabled,23.497,11.035,5.087,7.363,2473.432,2.766
,,,disabled,0.006,0.000,0.000,0.000,2343.071,0.000
,,,disabled,0.007,0.000,0.000,0.000,2438.718,0.000
,,,disabled,0.005,0.000,0.000,0.000,2436.648,0.000
,,,disabled,0.005,0.000,0.000,0.000,2457.300,0.000
,,,disabled,0.005,0.000,0.000,0.000,2572.910,0.000
,,,disabled,0.005,0.000,0.000,0.000,2431.506,0.000
,,,disabled,0.005,0.000,0.000,0.000,2440.361,0.000
,,,disabled,0.005,0.000,0.000,0.000,2445.943,0.000
,,,disabled,0.005,0.000,0.000,0.000,2485.580,0.000
,,,disabled,0.005,0.000,0.000,0.000,2490.509,0.000
