node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,,enabled,67.608,13.427,17.700,33.119,2103.284,13.689
,,,enabled,59.976,10.916,18.060,30.985,2160.620,14.065
,,,enabled,62.914,11.081,18.359,33.458,2270.295,14.205
,,,enabled,60.684,11.015,18.080,31.576,2208.100,14.033
,,,enabled,61.504,11.086,18.252,32.151,2177.287,14.107
,,,enabled,60.594,10.869,18.429,31.282,2354.754,14.211
,,,enabled,61.178,10.939,18.498,31.727,2230.630,14.209
,,,enabled,77.573,11.714,28.164,37.663,5149.638,21.940
,,,enabled,218.054,167.324,18.482,32.233,2158.755,14.128
,,,enabled,61.304,11.144,18.384,31.763,2267.289,14.146
,,,enabled,65.635,13.081,18.050,31.151,2204.440,13.993
,,,enabled,60.222,10.647,17.935,31.623,2255.756,14.033
,,,enabled,61.078,10.940,18.169,31.956,2212.797,14.072
,,,enabled,58.721,10.909,17.876,29.923,2172.029,13.906
,,,enabled,60.707,10.844,18.138,31.712,2118.292,14.073
,,,enabled,60.997,10.982,18.180,31.823,2352.793,14.205
,,,enabled,63.353,10.993,18.560,33.786,2094.074,14.462
,,,enabled,61.079,10.895,18.247,31.925,2221.079,14.146
,,,enabled,202.910,152.065,17.878,32.953,2115.461,13.831
,,,enabled,63.098,11.078,18.081,33.927,2146.975,13.941
