node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,10,enabled,162.628,61.347,22.935,75.372,300.185,9.949
,,10,enabled,162.148,60.679,22.775,75.737,315.920,10.019
,,10,enabled,165.901,62.125,22.960,77.796,300.767,10.004
,,10,enabled,162.561,60.430,23.288,75.866,305.769,10.073
,,10,enabled,162.150,60.380,22.829,75.981,296.738,9.880
,,10,enabled,161.111,60.114,22.820,75.185,310.120,9.985
,,10,enabled,159.429,59.292,22.626,74.196,298.907,9.871
,,10,enabled,159.744,60.605,22.937,73.250,303.429,10.025
,,10,enabled,164.948,62.960,23.846,75.172,318.848,10.450
,,10,enabled,163.616,61.324,23.226,76.126,309.296,10.152
