node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,,enabled,28.890,11.674,8.835,34.967,674.665,4.588
,,,enabled,27.269,11.427,8.948,33.602,710.538,4.702
,,,enabled,29.463,13.466,9.164,36.008,677.747,4.940
,,,enabled,26.650,11.421,8.995,36.972,677.719,4.793
,,,enabled,26.827,11.881,8.858,35.055,695.164,4.605
,,,enabled,28.964,11.773,8.890,36.037,702.123,4.619
,,,enabled,27.175,11.414,8.815,34.132,717.186,4.614
,,,enabled,26.900,11.444,8.951,32.238,665.284,4.759
,,,enabled,23.553,10.987,7.841,28.863,659.867,4.127
,,,enabled,26.255,11.519,8.956,39.160,732.071,4.701
,,,enabled,26.522,11.497,8.870,34.063,711.848,4.678
,,,enabled,28.329,11.561,8.925,40.097,721.880,4.657
,,,enabled,26.781,11.521,8.984,35.485,668.873,4.787
,,,enabled,27.354,11.545,8.816,37.210,666.990,4.622
,,,enabled,26.845,11.489,8.783,38.437,694.363,4.552
,,,enabled,28.538,11.547,9.020,35.529,721.662,4.781
,,,enabled,30.338,13.127,8.991,35.925,680.268,4.690
,,,enabled,27.997,12.081,9.190,36.118,675.746,4.919
,,,enabled,26.533,11.838,8.876,35.579,672.657,4.614
,,,enabled,26.693,11.545,8.889,36.636,696.747,4.634
,,,enabled,27.024,11.555,8.770,37.439,703.092,4.540
,,,enabled,26.579,11.531,9.051,36.550,708.341,4.823
,,,enabled,27.392,11.486,8.958,38.366,679.758,4.676
,,,enabled,27.038,11.823,8.938,36.815,707.680,4.664
,,,enabled,27.741,11.610,8.789,38.023,715.453,4.570
,,,enabled,27.301,11.485,9.166,36.637,671.078,4.794
,,,enabled,26.811,11.488,8.781,36.567,693.191,4.589
,,,enabled,24.134,10.077,8.027,29.974,640.611,4.326
,,,enabled,29.955,12.952,8.941,34.779,704.020,4.719
,,,enabled,26.349,11.411,8.783,42.089,709.109,4.618
