policy,walker,prefetch_limit,trial,e2e_ms,request_id,request_order,train_n,trial_count,pool_seed,coverage,accuracy,actual_ids,plan_ids,covered_ids,overfetch_ids,undercoverage_ids,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,l1_hit_rate,l1,l2,l3,miss,db_q,oracle_file,oracle_topology_file,model_file,selep_events,selep_matched_events,selep_predictions,selep_blocks,selep_blocks_skipped,selep_prewarm_calls,selep_prewarm_ms,selep_errors
oracle,load_feed,0,1,9811.094514094293,sim_user_56,,,2,,,,,,,,,849.382,933.048,827.210,6914.418,100.0,30401,0,4,0,,/workspace/jaseci_external_tools/littlex5/oracle_plans_snapshot_remote_pg_20260902_011226/littlex5/load_feed/sim_user_56_limit0_trial1.uuids,/workspace/jaseci_external_tools/littlex5/oracle_plans_snapshot_remote_pg_20260902_011226/littlex5/load_feed/sim_user_56_limit0_trial1.uuids.topology.json,,,,,,,,,
oracle,load_feed,0,2,9864.42699842155,sim_user_56,,,2,,,,,,,,,855.802,940.469,832.825,6957.062,100.0,30401,0,4,0,,/workspace/jaseci_external_tools/littlex5/oracle_plans_snapshot_remote_pg_20260902_011226/littlex5/load_feed/sim_user_56_limit0_trial2.uuids,/workspace/jaseci_external_tools/littlex5/oracle_plans_snapshot_remote_pg_20260902_011226/littlex5/load_feed/sim_user_56_limit0_trial2.uuids.topology.json,,,,,,,,,
