policy,walker,prefetch_limit,trial,e2e_ms,request_id,request_order,train_n,trial_count,pool_seed,coverage,accuracy,actual_ids,plan_ids,covered_ids,overfetch_ids,undercoverage_ids,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,l1_hit_rate,l1,l2,l3,miss,db_q,oracle_file,model_file,selep_events,selep_matched_events,selep_predictions,selep_blocks,selep_blocks_skipped,selep_prewarm_calls,selep_prewarm_ms,selep_errors
none,load_feed,0,1,9436.732177622616,sim_user_56,,,2,,,,,,,,,0.000,0.000,0.000,8171.190,50.0,10200,0,10205,0,,,,,,,,,,,
none,load_feed,0,2,9549.028862267733,sim_user_56,,,2,,,,,,,,,0.000,0.000,0.000,8258.273,50.0,10200,0,10205,0,,,,,,,,,,,
ttg,load_feed,2500,1,9166.328055784106,sim_user_56,,,2,,,,,,,,,0.000,455.320,392.622,7419.586,61.2,12486,0,7919,0,,,,,,,,,,,
ttg,load_feed,2500,2,9157.944632694125,sim_user_56,,,2,,,,,,,,,0.000,401.361,399.373,7438.491,61.2,12486,0,7919,0,,,,,,,,,,,
ttg,load_feed,10000,1,9873.566393740475,sim_user_56,,,2,,,,,,,,,0.000,1181.886,1056.899,7337.009,97.8,19949,0,456,0,,,,,,,,,,,
ttg,load_feed,10000,2,9735.348520800471,sim_user_56,,,2,,,,,,,,,0.000,1159.750,1105.446,7210.785,97.8,19949,0,456,0,,,,,,,,,,,
