policy,walker,prefetch_limit,trial,e2e_ms,request_id,request_order,train_n,trial_count,pool_seed,coverage,accuracy,actual_ids,plan_ids,covered_ids,overfetch_ids,undercoverage_ids,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,l1_hit_rate,l1,l2,l3,miss,db_q,oracle_file,model_file,selep_events,selep_matched_events,selep_predictions,selep_blocks,selep_blocks_skipped,selep_prewarm_calls,selep_prewarm_ms,selep_errors
oracle,load_feed,0,1,10920.546349138021,sim_user_56,,,2,,,,,,,,,2255.741,2339.220,849.559,6590.813,100.0,30401,0,4,0,,/workspace/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit0_trial1.uuids,,,,,,,,,
oracle,load_feed,0,2,11081.514076329768,sim_user_56,,,2,,,,,,,,,2253.453,2338.739,845.820,6737.699,100.0,30401,0,4,0,,/workspace/jaseci_external_tools/littlex5/oracle_plans/littlex5/load_feed/sim_user_56_limit0_trial2.uuids,,,,,,,,,
