node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,10,enabled,871.381,61.486,54.725,752.185,1408.435,33.082
,,10,enabled,871.070,59.605,53.177,755.314,1434.907,32.589
,,10,enabled,872.656,61.007,54.428,754.277,1425.375,33.303
,,10,enabled,869.283,60.884,53.886,751.568,1442.814,32.752
,,10,enabled,873.341,60.349,53.776,756.299,1405.666,32.665
,,10,enabled,878.455,60.503,53.934,761.088,1403.854,32.976
,,10,enabled,872.169,61.227,54.056,753.925,1441.093,32.741
,,10,enabled,887.677,61.559,54.839,768.348,1421.467,33.283
,,10,enabled,877.919,61.778,54.569,758.621,1458.519,33.205
,,10,enabled,873.454,61.224,54.325,754.897,1431.499,32.863
