node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,,enabled,365.236,12.994,65.574,283.733,369.410,53.839
,,,enabled,370.391,12.988,68.785,285.711,367.483,56.834
,,,enabled,375.805,13.297,68.882,290.674,370.820,56.448
,,,enabled,371.222,13.088,67.512,287.684,367.614,55.524
,,,enabled,369.387,13.037,66.967,286.458,366.170,55.131
,,,enabled,368.827,13.069,65.614,287.069,371.889,53.741
,,,enabled,374.023,13.023,66.622,290.729,361.635,54.649
,,,enabled,367.291,12.975,67.499,283.894,362.849,55.255
,,,enabled,374.980,13.349,68.245,290.422,363.758,56.177
,,,enabled,366.818,12.967,65.375,285.504,370.192,53.702
