node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,,enabled,161.814,12.981,27.597,118.157,1358.435,21.923
,,,enabled,161.679,12.910,27.834,118.003,1425.381,22.217
,,,enabled,161.418,12.923,27.115,118.462,1333.040,21.531
,,,enabled,163.640,13.124,27.755,119.808,1375.432,21.969
,,,enabled,163.873,13.090,27.721,120.097,1328.779,22.011
,,,enabled,161.033,13.065,27.092,117.951,1338.908,21.529
,,,enabled,163.498,13.947,27.211,118.513,1338.284,21.572
,,,enabled,161.778,13.185,27.415,118.238,1451.960,21.799
,,,enabled,163.345,13.126,27.742,119.512,1364.155,22.016
,,,enabled,162.151,13.066,27.663,118.550,1339.066,21.918
