node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,,enabled,127.706,12.888,20.532,91.366,1501.337,16.047
,,,enabled,126.707,12.935,21.232,89.583,1502.028,16.634
,,,enabled,127.617,13.062,20.638,90.945,1547.857,16.128
,,,enabled,128.137,14.364,21.035,88.911,1531.418,16.448
,,,enabled,126.929,13.091,21.085,89.777,1488.513,16.466
,,,enabled,129.285,13.098,21.862,91.378,1610.496,17.239
,,,enabled,128.167,12.970,20.988,91.231,1486.346,16.432
,,,enabled,130.407,13.916,21.071,91.417,1510.259,16.502
,,,enabled,127.969,12.920,20.911,90.973,1587.365,16.377
,,,enabled,126.352,13.186,20.626,89.632,1505.444,16.152
