node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,50,disabled,0.007,0.000,0.000,0.000,7272.486,0.000
,,50,disabled,0.007,0.000,0.000,0.000,7462.079,0.000
,,50,disabled,0.006,0.000,0.000,0.000,7602.274,0.000
,,50,disabled,0.006,0.000,0.000,0.000,8753.435,0.000
,,50,disabled,0.006,0.000,0.000,0.000,7518.346,0.000
,,50,disabled,0.007,0.000,0.000,0.000,8022.131,0.000
,,50,disabled,0.006,0.000,0.000,0.000,7562.166,0.000
,,50,disabled,0.007,0.000,0.000,0.000,8042.818,0.000
,,50,disabled,0.006,0.000,0.000,0.000,7526.066,0.000
,,50,disabled,0.006,0.000,0.000,0.000,7733.059,0.000
