node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,,enabled,322.983,14.158,54.452,250.781,619.567,43.486
,,,enabled,328.406,14.158,56.069,255.070,611.862,44.813
,,,enabled,325.449,14.181,55.102,253.028,625.337,44.210
,,,enabled,321.064,14.123,54.379,249.445,647.773,43.629
,,,enabled,320.251,14.234,55.151,247.768,641.408,44.091
,,,enabled,325.449,14.343,55.487,252.494,623.125,44.394
,,,enabled,326.272,17.041,54.491,250.648,593.778,43.620
,,,enabled,327.271,14.199,57.383,252.605,627.711,46.368
,,,enabled,331.186,14.606,57.237,256.175,604.685,45.503
,,,enabled,322.523,14.170,54.002,250.939,634.599,43.162
