node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,10,enabled,107.323,60.686,14.414,29.187,277.878,3.945
,,10,enabled,106.363,60.351,14.905,28.150,287.736,3.997
,,10,enabled,104.617,59.841,14.599,27.213,282.798,3.969
,,10,enabled,106.161,60.934,14.815,27.462,275.238,4.013
,,10,enabled,108.943,62.459,15.064,27.945,282.579,3.973
,,10,enabled,106.608,61.723,14.683,27.251,276.758,3.959
,,10,enabled,107.411,62.269,15.172,27.007,282.156,4.071
,,10,enabled,105.895,59.791,14.390,28.659,285.947,3.896
,,10,enabled,110.762,63.101,14.454,30.263,300.486,3.858
,,10,enabled,115.441,64.915,14.230,32.646,299.490,3.886
