node_num,edge_num,tweet_num,ttg_enabled,ttg_ms,prefetch_ms,walker_ms
25,175,100,enabled,0.688,21.081,110.615
25,175,100,enabled,0.600,20.599,128.239
25,175,100,enabled,0.615,21.714,245.531
25,100,100,enabled,130.679,6.545,100.802,23.324,84.573
25,100,100,enabled,123.233,6.261,99.811,17.152,84.116
25,100,100,enabled,128.966,6.813,100.832,21.313,78.720
25,100,100,disabled,0.003,0.000,0.000,0.000,209.693
25,100,100,disabled,0.002,0.000,0.000,0.000,200.754
25,100,100,disabled,0.002,0.000,0.000,0.000,235.953
25,100,100,disabled,0.003,0.000,0.000,0.000,249.313
25,100,100,disabled,0.002,0.000,0.000,0.000,213.227
25,100,100,disabled,0.001,0.000,0.000,0.000,199.864
25,100,100,enabled,126.766,6.512,101.802,18.445,76.819
25,100,100,enabled,123.479,6.230,99.389,17.853,73.909
25,100,100,enabled,123.478,5.647,100.039,17.788,77.174
25,100,100,enabled,141.784,9.553,111.809,20.407,92.938
25,100,100,enabled,129.810,6.945,100.217,22.636,95.885
25,100,100,enabled,125.797,6.098,100.788,18.903,80.627
25,100,100,disabled,0.003,0.000,0.000,0.000,222.831
25,100,100,disabled,0.003,0.000,0.000,0.000,211.493
25,100,100,disabled,0.002,0.000,0.000,0.000,213.636
25,100,100,disabled,0.003,0.000,0.000,0.000,208.738
25,100,100,disabled,0.002,0.000,0.000,0.000,214.503
25,100,100,disabled,0.002,0.000,0.000,0.000,193.483
25,100,100,enabled,127.747,6.531,99.283,21.924,88.054
25,100,100,enabled,124.475,6.640,100.556,17.272,80.419
25,100,100,enabled,132.591,7.209,106.732,18.640,79.379
