node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms
25,125,100,disabled,0.003,0.000,0.000,0.000,260.116
25,125,100,disabled,0.002,0.000,0.000,0.000,272.252
25,125,100,disabled,0.002,0.000,0.000,0.000,285.361
