node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,10,enabled,1514.405,61.554,143.195,1305.782,905.444,107.000
,,10,enabled,1514.952,61.925,148.020,1302.020,894.424,110.408
,,10,enabled,1522.360,61.271,146.209,1311.975,900.395,109.039
,,10,enabled,1552.348,61.262,146.394,1341.714,901.860,109.046
,,10,enabled,1525.832,62.328,145.335,1315.140,897.778,108.374
,,10,enabled,1517.345,60.889,148.967,1304.467,907.934,111.182
,,10,enabled,1522.268,61.062,146.636,1311.543,906.310,109.514
,,10,enabled,1522.278,61.467,146.158,1311.717,902.583,108.822
,,10,enabled,1528.789,61.084,146.816,1317.939,902.724,109.043
,,10,enabled,1530.480,60.657,146.958,1319.942,929.215,110.409
