node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,,enabled,24.123,13.037,3.019,4.718,2445.670,1.355
,,,enabled,17.639,10.758,2.851,4.016,2496.399,1.345
,,,enabled,149.961,141.151,2.883,5.912,2505.352,1.323
,,,enabled,17.719,10.828,2.996,3.883,2489.076,1.358
,,,enabled,21.145,12.451,3.334,5.344,2563.488,1.378
,,,enabled,18.592,11.210,3.237,4.131,2626.626,1.348
,,,enabled,18.439,11.610,3.049,3.766,2538.266,1.354
,,,enabled,18.095,11.080,3.090,3.913,2497.410,1.373
,,,enabled,18.356,11.098,3.085,4.156,2595.781,1.379
,,,enabled,17.881,11.063,3.044,3.763,2604.380,1.375
,,,enabled,24.842,13.414,3.080,4.952,2429.638,1.369
,,,enabled,21.531,13.063,3.348,5.103,2557.937,1.707
,,,enabled,158.093,145.796,3.135,9.145,2584.560,1.489
,,,enabled,18.198,11.111,2.994,4.080,2608.478,1.377
,,,enabled,18.232,11.056,2.933,4.231,2462.111,1.399
,,,enabled,18.315,11.063,3.355,3.885,2715.415,1.402
,,,enabled,18.009,11.193,2.989,3.815,2549.808,1.348
,,,enabled,18.056,11.009,3.004,4.029,2564.964,1.351
,,,enabled,18.473,11.236,3.029,4.196,2686.714,1.371
,,,enabled,18.583,11.241,3.054,4.276,2529.696,1.363
,,,enabled,24.536,13.043,3.049,5.117,2444.966,1.338
,,,enabled,18.059,10.937,2.898,4.208,2462.793,1.357
,,,enabled,148.010,139.240,2.896,5.859,2484.837,1.330
,,,enabled,18.596,11.277,3.085,4.221,2424.257,1.373
,,,enabled,18.125,11.060,2.900,4.153,2489.388,1.365
,,,enabled,17.468,11.052,2.864,3.539,2667.668,1.377
,,,enabled,18.273,11.049,3.021,4.192,2473.550,1.380
,,,enabled,18.902,11.540,3.028,4.321,2600.784,1.348
,,,enabled,20.496,12.902,2.969,4.611,2687.141,1.354
,,,enabled,18.130,11.157,2.980,3.980,2551.663,1.334
