node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,,enabled,21.372,11.552,3.178,21.476,1115.620,1.562
,,,enabled,21.010,11.494,3.221,18.135,1133.333,1.581
,,,enabled,22.516,11.940,3.258,23.539,1100.464,1.571
,,,enabled,21.177,11.416,3.327,19.740,1050.540,1.648
,,,enabled,20.911,11.640,3.275,19.575,1030.618,1.594
,,,enabled,26.160,14.900,3.561,21.190,1147.054,1.723
,,,enabled,21.584,11.663,3.244,23.366,1106.970,1.601
,,,enabled,22.096,11.535,3.205,19.773,1073.879,1.577
,,,enabled,23.579,12.741,3.279,20.708,1071.471,1.571
,,,enabled,21.112,11.457,3.289,22.085,1068.917,1.640
,,,enabled,21.102,11.500,3.252,18.492,1101.416,1.613
,,,enabled,22.639,12.392,3.288,19.189,1107.885,1.587
,,,enabled,21.019,11.569,3.239,20.039,1110.362,1.576
,,,enabled,21.354,11.541,3.174,19.579,1112.223,1.557
,,,enabled,20.598,11.726,3.329,21.154,1111.880,1.664
,,,enabled,20.694,11.364,3.199,19.117,1256.894,1.592
,,,enabled,21.062,11.488,3.269,27.446,1229.413,1.621
,,,enabled,21.428,11.734,3.498,22.691,1067.113,1.718
,,,enabled,22.610,11.786,3.225,19.891,1155.698,1.548
,,,enabled,20.763,11.593,3.282,21.148,1195.179,1.598
,,,enabled,20.846,11.566,3.343,22.277,1181.677,1.677
,,,enabled,22.737,11.641,3.389,14.635,1080.170,1.711
,,,enabled,24.299,12.825,3.243,22.457,1107.341,1.568
,,,enabled,23.602,12.775,3.296,22.803,1145.708,1.646
,,,enabled,20.333,11.521,3.247,21.264,1126.218,1.549
,,,enabled,21.022,11.574,3.254,25.071,1131.646,1.591
,,,enabled,21.738,11.533,3.279,22.144,1135.041,1.600
,,,enabled,21.538,11.551,3.721,19.000,1145.773,1.837
,,,enabled,21.510,11.631,3.303,20.844,1084.360,1.619
,,,enabled,20.599,11.510,3.225,24.014,1071.136,1.607
