node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,,enabled,289.469,14.806,47.996,222.603,837.407,38.190
,,,enabled,285.946,14.164,47.708,220.045,785.295,37.993
,,,enabled,288.129,14.543,49.469,221.019,772.786,38.885
,,,enabled,287.555,14.227,48.477,221.716,808.238,38.638
,,,enabled,293.885,14.289,50.729,225.743,836.011,40.241
,,,enabled,287.183,14.514,48.775,220.792,758.292,38.901
,,,enabled,289.161,14.563,47.873,223.526,784.585,38.078
,,,enabled,290.016,14.367,50.583,221.806,800.261,40.281
,,,enabled,287.621,14.267,49.701,220.537,786.833,39.746
,,,enabled,295.150,15.028,49.262,227.753,761.730,38.977
