node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,,enabled,371.599,13.069,67.489,288.104,370.332,55.450
,,,enabled,372.327,12.967,68.968,287.464,364.790,56.908
,,,enabled,371.142,13.007,67.290,287.248,361.266,55.236
,,,enabled,375.933,13.139,68.813,291.007,367.940,56.789
,,,enabled,364.643,13.007,65.712,282.984,372.779,53.772
,,,enabled,370.048,12.963,67.992,286.160,373.155,55.898
,,,enabled,369.432,13.052,67.538,285.815,365.425,55.524
,,,enabled,369.798,13.881,65.887,285.655,361.217,53.862
,,,enabled,373.308,12.936,66.561,290.899,363.892,54.736
,,,enabled,379.196,13.836,68.583,292.912,367.100,56.287
