node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,10,enabled,1870.875,61.051,206.367,1600.513,847.209,156.366
,,10,enabled,1858.408,60.050,203.245,1592.171,837.908,153.710
,,10,enabled,1871.877,66.090,205.304,1597.552,842.855,154.765
,,10,enabled,1869.160,60.095,204.826,1601.316,845.530,155.208
,,10,enabled,1872.785,60.982,205.511,1603.233,844.611,155.178
,,10,enabled,1880.239,62.803,207.352,1606.981,845.766,154.674
,,10,enabled,1884.348,60.992,212.597,1607.556,845.773,160.702
,,10,enabled,1856.909,61.269,212.920,1579.806,833.645,162.798
,,10,enabled,1884.062,66.706,221.996,1592.425,840.616,167.293
,,10,enabled,1874.354,61.166,206.485,1603.716,845.824,155.425
