node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,,enabled,93.966,13.028,14.521,63.474,1692.435,11.031
,,,enabled,89.027,12.986,14.245,58.882,1632.842,10.744
,,,enabled,93.272,15.167,14.221,60.068,1654.822,10.706
,,,enabled,91.270,13.118,14.579,60.639,1675.502,10.964
,,,enabled,91.221,13.014,14.635,60.647,1821.436,11.018
,,,enabled,90.163,12.923,14.663,59.681,1713.212,11.125
,,,enabled,90.389,13.013,14.716,59.720,1656.278,11.167
,,,enabled,91.357,13.121,14.766,60.523,1755.646,11.259
,,,enabled,92.702,13.629,14.383,60.855,1655.540,10.783
,,,enabled,90.779,12.941,14.653,60.260,1796.841,11.130
