policy,walker,prefetch_limit,trial,e2e_ms,request_id,request_order,train_n,trial_count,pool_seed,coverage,accuracy,actual_ids,plan_ids,covered_ids,overfetch_ids,undercoverage_ids,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,l1_hit_rate,l1,l2,l3,miss,db_q,oracle_file,model_file,selep_events,selep_matched_events,selep_predictions,selep_blocks,selep_blocks_skipped,selep_prewarm_calls,selep_prewarm_ms,selep_errors
none,Traverse,0,1,3142.4872037023306,316fad75-484e-4757-87fb-df8c48837e1f,,,2,,,,,,,,,0.000,0.000,0.000,3046.760,0.0,0,0,1004,0,,,,,,,,,,,
none,Traverse,0,2,3218.885952606797,316fad75-484e-4757-87fb-df8c48837e1f,,,2,,,,,,,,,0.000,0.000,0.000,3058.976,0.0,0,0,1004,0,,,,,,,,,,,
ttg,Traverse,250,1,2253.2852040603757,644eec06-8958-4b28-bedd-73b8679b74a1,,,2,,,,,,,,,0.000,54.115,37.439,2115.169,24.7,248,0,756,0,,,,,,,,,,,
ttg,Traverse,250,2,2102.608382701874,644eec06-8958-4b28-bedd-73b8679b74a1,,,2,,,,,,,,,0.000,79.159,26.399,1928.817,24.7,248,0,756,0,,,,,,,,,,,
ttg,Traverse,1000,1,878.3760899677873,cec6eac4-302d-4c87-9cc3-e4e0a48d4a3a,,,2,,,,,,,,,0.000,182.816,87.411,603.946,99.3,997,0,7,0,,,,,,,,,,,
ttg,Traverse,1000,2,920.3158672899008,cec6eac4-302d-4c87-9cc3-e4e0a48d4a3a,,,2,,,,,,,,,0.000,214.300,88.646,602.859,99.3,997,0,7,0,,,,,,,,,,,
ttg,Traverse,1250,1,864.4407140091062,18469148-2fa4-4acc-bb5d-91894b8d6954,,,2,,,,,,,,,0.000,181.573,88.433,591.527,99.4,998,0,6,0,,,,,,,,,,,
ttg,Traverse,1250,2,914.0287488698959,18469148-2fa4-4acc-bb5d-91894b8d6954,,,2,,,,,,,,,0.000,214.775,88.768,598.349,99.4,998,0,6,0,,,,,,,,,,,
