nodes,run,backend,time_s
110,8,mongodb,0.000675
110,8,redis,0.000652
110,9,mongodb,0.000681
110,9,redis,0.000655
110,10,mongodb,0.000673
110,10,redis,0.000597
120,1,mongodb,0.000772
120,1,redis,0.000671
120,2,mongodb,0.000729
120,2,redis,0.000662
120,3,mongodb,0.000764
120,3,redis,0.000702
120,4,mongodb,0.000776
120,4,redis,0.000688
120,5,mongodb,0.000781
120,5,redis,0.000677
120,6,mongodb,0.000744
120,6,redis,0.000673
120,7,mongodb,0.000736
120,7,redis,0.000675
120,8,mongodb,0.000721
120,8,redis,0.001042
120,9,mongodb,0.000878
120,9,redis,0.000929
120,10,mongodb,0.000913
120,10,redis,0.000661
130,1,mongodb,0.000829
130,1,redis,0.000759
130,2,mongodb,0.000790
130,2,redis,0.000702
130,3,mongodb,0.000828
130,3,redis,0.000690
130,4,mongodb,0.000804
130,4,redis,0.000684
130,5,mongodb,0.000756
130,5,redis,0.000677
130,6,mongodb,0.000754
130,6,redis,0.000687
130,7,mongodb,0.000745
130,7,redis,0.000704
130,8,mongodb,0.000760
130,8,redis,0.000689
130,9,mongodb,0.000743
130,9,redis,0.000685
130,10,mongodb,0.000792
130,10,redis,0.000678
140,1,mongodb,0.000921
140,1,redis,0.000750
140,2,mongodb,0.000828
140,2,redis,0.000745
140,3,mongodb,0.000812
140,3,redis,0.000732
140,4,mongodb,0.000868
140,4,redis,0.000734
140,5,mongodb,0.000842
140,5,redis,0.000732
140,6,mongodb,0.000788
140,6,redis,0.000733
140,7,mongodb,0.000783
140,7,redis,0.000729
140,8,mongodb,0.000791
140,8,redis,0.000731
140,9,mongodb,0.000808
140,9,redis,0.000736
140,10,mongodb,0.000816
140,10,redis,0.000732
150,1,mongodb,0.000945
150,1,redis,0.000803
150,2,mongodb,0.000916
150,2,redis,0.000783
150,3,mongodb,0.000839
150,3,redis,0.000780
150,4,mongodb,0.000957
150,4,redis,0.000785
150,5,mongodb,0.000917
150,5,redis,0.000784
150,6,mongodb,0.000840
150,6,redis,0.000779
150,7,mongodb,0.000828
150,7,redis,0.000784
150,8,mongodb,0.000841
150,8,redis,0.000796
150,9,mongodb,0.000846
150,9,redis,0.000790
150,10,mongodb,0.000834
150,10,redis,0.000781
160,1,mongodb,0.001336
160,1,redis,0.000850
160,2,mongodb,0.000969
160,2,redis,0.000843
160,3,mongodb,0.000884
160,3,redis,0.000839
160,4,mongodb,0.001108
160,4,redis,0.000839
160,5,mongodb,0.000902
160,5,redis,0.000837
160,6,mongodb,0.000861
160,6,redis,0.000833
160,7,mongodb,0.000991
160,7,redis,0.000844
160,8,mongodb,0.000950
160,8,redis,0.000854
160,9,mongodb,0.000893
160,9,redis,0.000837
160,10,mongodb,0.001008
160,10,redis,0.000845
170,1,mongodb,0.000933
170,1,redis,0.000901
170,2,mongodb,0.000892
170,2,redis,0.000891
170,3,mongodb,0.001043
170,3,redis,0.001040
170,4,mongodb,0.000889
170,4,redis,0.000878
170,5,mongodb,0.000891
170,5,redis,0.000903
170,6,mongodb,0.000887
170,6,redis,0.000900
170,7,mongodb,0.000898
170,7,redis,0.001075
170,8,mongodb,0.000946
