node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,,enabled,30.113,11.502,11.771,42.406,485.517,6.283
,,,enabled,29.291,11.495,11.921,43.708,479.154,6.418
,,,enabled,29.848,11.556,12.062,49.174,478.646,6.552
,,,enabled,30.479,11.481,11.789,45.089,481.375,6.283
,,,enabled,30.132,12.044,12.319,41.578,476.255,6.578
,,,enabled,30.240,12.139,11.852,46.898,511.620,6.314
,,,enabled,30.046,11.567,11.836,47.248,498.459,6.292
,,,enabled,31.368,11.601,11.910,41.995,484.663,6.294
,,,enabled,29.889,11.520,12.094,42.462,490.995,6.351
,,,enabled,30.275,11.819,11.992,39.953,488.409,6.439
,,,enabled,31.924,12.096,11.736,48.901,467.963,6.185
,,,enabled,29.393,11.509,11.611,41.933,480.623,6.096
,,,enabled,30.935,11.553,11.598,43.749,491.522,6.107
,,,enabled,30.161,11.560,11.610,42.133,487.650,6.091
,,,enabled,29.693,11.470,11.781,44.817,488.731,6.201
,,,enabled,30.634,11.590,11.908,43.129,486.588,6.319
,,,enabled,29.732,11.562,11.677,44.769,485.817,6.210
,,,enabled,29.919,11.606,11.553,45.593,496.706,6.068
,,,enabled,29.931,11.510,11.565,44.336,489.040,6.076
,,,enabled,31.250,13.043,12.064,45.712,486.536,6.348
,,,enabled,29.982,11.463,11.579,45.207,487.458,6.081
,,,enabled,30.392,11.530,12.401,43.045,488.045,6.801
,,,enabled,30.477,11.563,11.897,45.603,485.744,6.228
,,,enabled,30.123,11.904,11.832,40.569,482.657,6.066
,,,enabled,29.984,11.603,11.828,44.795,488.804,6.219
,,,enabled,29.727,11.476,11.644,42.183,491.999,6.158
,,,enabled,29.818,11.483,11.751,42.011,482.636,6.209
,,,enabled,30.256,11.526,11.855,47.160,490.689,6.325
,,,enabled,29.607,11.490,11.601,47.472,486.118,6.076
,,,enabled,29.646,11.435,11.562,40.943,482.208,6.072
