node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,10,enabled,1201.676,61.229,95.390,1042.129,1166.932,66.349
,,10,enabled,1184.844,61.097,95.832,1024.949,1145.598,67.408
,,10,enabled,1202.382,61.620,96.894,1040.928,1164.017,68.003
,,10,enabled,1196.233,61.612,96.942,1034.731,1141.029,68.058
,,10,enabled,1196.024,61.611,95.407,1036.069,1169.770,67.085
,,10,enabled,1195.742,61.289,94.264,1036.367,1132.015,65.926
,,10,enabled,1190.036,60.856,96.262,1029.998,1133.372,67.005
,,10,enabled,1195.740,61.157,94.170,1037.503,1136.262,65.335
,,10,enabled,1192.720,59.878,94.261,1035.636,1151.339,65.902
,,10,enabled,1200.006,60.998,95.977,1040.090,1174.566,66.969
