policy,walker,prefetch_limit,trial,e2e_ms,request_id,request_order,train_n,trial_count,pool_seed,coverage,accuracy,actual_ids,plan_ids,covered_ids,overfetch_ids,undercoverage_ids,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,l1_hit_rate,l1,l2,l3,miss,db_q,oracle_file,model_file,selep_events,selep_matched_events,selep_predictions,selep_blocks,selep_blocks_skipped,selep_prewarm_calls,selep_prewarm_ms,selep_errors
none,load_feed,0,1,9259.467937983572,sim_user_56,,,2,,,,,,,,,0.000,0.000,0.000,7940.003,50.0,10200,0,10205,0,,,,,,,,,,,
none,load_feed,0,2,9277.199018746614,sim_user_56,,,2,,,,,,,,,0.000,0.000,0.000,7972.275,50.0,10200,0,10205,0,,,,,,,,,,,
ttg,load_feed,2500,1,9222.396049648523,sim_user_56,,,2,,,,,,,,,0.000,444.355,347.282,7458.613,61.2,12486,0,7919,0,,,,,,,,,,,
ttg,load_feed,2500,2,9224.869442172348,sim_user_56,,,2,,,,,,,,,0.000,402.809,394.193,7523.197,61.2,12486,0,7919,0,,,,,,,,,,,
ttg,load_feed,10000,1,9882.671257480979,sim_user_56,,,2,,,,,,,,,0.000,1224.860,1118.443,7328.440,97.8,19949,0,456,0,,,,,,,,,,,
ttg,load_feed,10000,2,10212.578161619604,sim_user_56,,,2,,,,,,,,,0.000,1187.948,1363.469,7551.512,97.8,19949,0,456,0,,,,,,,,,,,
